lon,lat,obs
-84.2305069,35.3429377,5
-84.2188269,33.6307147,79
-84.1820229,42.7647917,19
-84.1687459,42.5834987,36
-84.1514213,35.9135129,57
-84.1360999,40.0778757,21
-84.1150501,43.3437119,37
-84.0731922,31.1234736,43
-84.0687099,34.7642707,28
-84.0681929,38.1661827,51
-84.0413094,30.5950194,175
-84.027055,38.030439200000004,68
-84.0168649,31.7538576,80
-84.0134234,39.4989563,50
-83.9907256,33.0058447,35
-83.9654629,34.9969557,35
-83.9410257,37.9925553,40
-83.9295763,38.2051493,17
-83.9205469,35.9074137,20
-83.9166709,39.8881087,32
-83.9135034,31.6113295,71
-83.8637013,39.3611652,35
-83.8569684,30.2734632,35
-83.8484908,39.5569036,23
-83.8381378,34.1726911,66
-83.8122125,33.1053145,54
-83.8099149,35.7304657,30
-83.8064798,42.442593,32
-83.80112,30.6653217,137
-83.8,37.6333333,25
-83.7887419,32.3776397,101
-83.7864779,35.6068456,8
-83.7710499,36.1388087,86
-83.7588579,38.9081057,29
-83.7460488,32.546571900000004,42
-83.7075339,41.1974257,7
-83.7041676,33.6804525,52
-83.6735259,40.6744266,16
-83.6676053,30.2929508,48
-83.6478349,32.9464727,35
-83.6041811,33.6101913,94
-83.5781559,32.1468537,50
-83.5630719,37.7389457,18
-83.5415723,34.4948364,23
-83.5358349,35.6843537,3
-83.4580032,41.5440972,34
-83.4524425,32.3986852,38
-83.4309121,30.7949952,73
-83.4224989,43.3504847,14
-83.4163514,38.6696358,35
-83.40811,30.9398503,73
-83.3946338,31.911593,62
-83.3782062,29.6686989,43
-83.3399191,30.3506092,119
-83.3156813,34.0324127,108
-83.294801,35.516915,13
-83.2805093,34.6616003,46
-83.2572724,31.212031,60
-83.2549351,43.2370751,31
-83.2438622,31.7059705,64
-83.2158819,30.5193097,162
-83.2023406,35.0399431,10
-83.1869915,38.649962,13
-83.1776269,42.7553807,12
-83.1398269,31.2372355,63
-83.119901,33.1701743,33
-83.1032176,34.3932407,46
-83.1013189,35.7720827,5
-83.0957341,33.5197045,26
-83.0919895,38.4235754,20
-83.087075,41.4427171,17
-83.0674784,29.6862263,45
-83.0386289,40.5642137,59
-83.0293039,30.9276387,42
-83.029301,32.801282,28
-83.014022,34.926442,57
-82.9962929,41.0376017,46
-82.9529801,32.1747043,49
-82.9391858,31.9354092,68
-82.9128272,36.0465477,52
-82.9107789,39.1527143,46
-82.8822098,41.4083645,23
-82.8386369,35.1436807,15
-82.8309704,33.0291229,54
-82.810872,30.018918,53
-82.8023609,31.4577244,50
-82.7884369,38.8817267,19
-82.7652865,32.7366314,67
-82.7639629,40.4600977,32
-82.7626109,39.3754092,28
-82.7571502,32.4529818,23
-82.7559864,34.1982791,72
-82.7480769,36.7021737,51
-82.7337409,30.5026237,94
-82.7110995,30.8156483,51
-82.706828,30.6012759,65
-82.6803659,35.2667187,33
